LEA,District,In-District FTE Pupils,Out-of-District FTE Pupils,Total FTE Pupils,Administration,Instructional Leadership,Teachers,Other Teaching Services,Professional Development,"Instructional Materials, Equipment and Technology","Guidance, Counseling and Testing",Pupil Services,Operations and Maintenance,"Insurance, Retirement Programs and Other","Total
In-District Expenditures",Instructional Services,Total Expenditures,year
0161,Ludlow,2539.3,128.5,2667.8,566.6219549,1237.907439,6716.257575,1703.736128,64.56267869,175.3317607,480.4867483,1598.779854,1101.056,3340.350841,16985.09098,10378.28233,17504.91597,2020-21
0162,Lunenburg,1651.3,121.5,1772.8,674.4520983,727.5564162,5394.062999,1333.714128,74.13745534,142.5219887,471.8655544,1060.096851,1098.096978,2610.718143,13587.22261,8143.858542,13929.10067,2020-21
0163,Lynn,15997.7,2196.1,18193.8,456.9478738,777.0477006,5800.873188,951.3629459,186.7007757,262.5107359,426.636579,1103.056127,1465.794208,2998.239372,14429.16951,8405.131925,14917.42954,2020-21
0164,Lynnfield,2211.5,29.8,2241.3,591.6142889,991.6350893,6859.833145,1261.029166,79.19240335,221.5139046,485.3443364,1415.967895,1370.971739,2579.60615,15856.70812,9898.548044,16565.15014,2020-21
0165,Malden,6433.8,967.4,7401.2,476.6586014,994.0834701,6213.327393,1305.262419,61.46666978,482.8331484,509.1472442,1115.942686,1085.131218,2469.045351,14712.8982,9566.120344,15611.3994,2020-21
0167,Mansfield,3672.5,132.2,3804.7,400.4737046,977.9039564,7263.804961,1337.551096,177.4636433,286.7609721,566.7118557,1420.971349,1177.681827,3124.736204,16734.05957,10610.19648,17726.18745,2020-21
0168,Marblehead,2969.3,170.2,3139.5,411.6535884,1005.780824,7193.867915,1540.501802,14.4539117,309.1001246,660.5112316,1091.613956,1381.769104,3151.841175,16761.09363,10724.21581,17769.54247,2020-21
0169,Marion,435.3,9,444.3,544.2407535,1005.338847,7299.308523,1324.606019,53.1725247,386.2026189,716.2738341,922.1189065,1089.225178,2688.883529,16029.37073,10784.90237,17016.85141,2020-21
0170,Marlborough,4792,733.8,5525.8,499.3118364,1309.883153,6656.531912,1527.322095,139.3822871,364.5493155,561.5018322,1640.903366,1113.300344,2795.202212,16607.88835,10559.17059,17135.71269,2020-21
0171,Marshfield,3961.3,97.9,4059.2,432.6083558,1084.573736,6533.533741,1532.053341,88.55546412,517.3837932,509.0629112,1198.056132,999.2993184,1820.022912,14715.14971,10265.16299,15650.71671,2020-21
0172,Mashpee,1579.9,175,1754.9,806.4103931,912.2900184,6946.112412,1415.940249,150.3740743,651.4779416,777.9220204,1906.840389,2185.92052,3546.028552,19299.31657,10854.11672,19293.62714,2020-21
0173,Mattapoisett,438.9,7,445.9,649.2230576,1110.726817,7704.600137,1875.992253,70.25290499,274.0248348,865.4135338,1149.391661,1361.343131,4448.104352,19509.07268,11901.01048,20890.73469,2020-21
0174,Maynard,1263,170.4,1433.4,628.6655978,1069.716207,7312.835265,2350.452462,95.0367696,318.3601188,829.5381156,962.9814568,1224.609992,3679.962407,18472.15839,11975.93894,19862.09667,2020-21
0175,Medfield,2603.7,25.1,2628.8,464.7582287,1081.034236,7430.502746,1441.847755,56.40934055,403.1585436,618.7260437,1373.29162,1258.166071,1943.242309,16071.13689,11031.67866,16869.88768,2020-21
0176,Medford,4206.4,512.8,4719.2,457.9200742,1384.818847,8167.107741,1216.69884,60.90005706,634.7197128,577.5468334,1272.794789,1393.468286,5233.312809,20399.28799,12041.79203,20558.41753,2020-21
0177,Medway,2178.8,96.1,2274.9,423.7842574,1302.346246,6055.187892,1193.894424,59.71577474,204.9359831,657.1748577,1221.82606,1332.697209,2873.869561,15325.43227,9473.255177,16259.30544,2020-21
0178,Melrose,3994.4,305.9,4300.3,463.5348463,905.8592144,4732.18244,1056.909353,149.3719457,138.8270003,345.5632661,1130.190314,823.9622071,2110.922048,11857.32264,7328.71322,12665.06396,2020-21
0181,Methuen,6895.5,348.4,7243.9,369.4022478,849.1751171,5663.235153,972.0799072,29.98085708,277.5619273,438.3648278,1470.418389,979.8748459,1984.071206,13034.16448,8230.39779,14738.07454,2020-21
0182,Middleborough,3032.1,166.3,3198.4,342.0323703,922.322275,5606.250097,1224.432473,129.0713235,414.135233,459.2980344,1634.920537,1034.444059,2843.829659,14610.73606,8755.509436,15312.42532,2020-21
0184,Middleton,719.1,13.1,732.2,791.2529551,1358.524545,7039.011264,2148.329857,161.8189403,758.3743568,408.4619663,1600.877486,1408.31456,2404.598804,18079.56473,11874.52093,18907.35728,2020-21
0185,Milford,4382.7,351,4733.7,384.2495334,972.7404089,6532.435282,1015.754879,144.7009195,191.1790996,581.367609,1338.250839,943.4005248,2698.364629,14802.44372,9438.178198,15348.98093,2020-21
0186,Millbury,1692,92,1784,438.0549645,866.2742317,6508.312057,1122.719267,271.3640662,362.4255319,529.5407801,1482.124704,1342.432033,3158.212766,16081.4604,9660.635934,17011.5241,2020-21
0187,Millis,1190.8,61.8,1252.6,758.856205,1294.54481,7215.850042,1588.881256,147.8197598,288.2856651,401.7187521,1277.080195,1295.389293,2652.25815,16920.68413,10937.10029,17465.52193,2020-21
