district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Southbridge,02770000,706,35.2,486,24.3,431,21.2,NA,NA,NA,NA,NA,NA,1614,79.3,1397,69.7,2018-19
Southeastern Regional Vocational Technical,08720000,329,22.8,15,1,210,14.5,NA,NA,NA,NA,NA,NA,714,49.4,474,32.8,2018-19
Southern Berkshire,07650000,29,4.2,11,1.6,135,19.6,NA,NA,NA,NA,NA,NA,321,46.5,239,34.7,2018-19
Southern Worcester County Regional Vocational Technical,08760000,10,0.9,6,0.5,174,15.4,NA,NA,NA,NA,NA,NA,380,33.6,262,23.2,2018-19
Southwick-Tolland-Granville Regional School District,07660000,69,4.6,50,3.3,251,16.6,NA,NA,NA,NA,NA,NA,527,34.8,344,22.8,2018-19
Spencer-E Brookfield,07670000,60,4.4,51,3.7,333,23.5,NA,NA,NA,NA,NA,NA,681,48.1,484,35.1,2018-19
Springfield,02810000,7351,29.1,4364,17.3,5998,23.5,NA,NA,NA,NA,NA,NA,21211,83.2,19405,76.7,2018-19
Springfield Preparatory Charter School (District),35100000,78,28.8,57,21,46,17,NA,NA,NA,NA,NA,NA,221,81.5,197,72.7,2018-19
Stoneham,02840000,307,12.8,83,3.5,482,19.8,NA,NA,NA,NA,NA,NA,833,34.2,385,16.1,2018-19
Stoughton,02850000,546,15.6,221,6.3,574,16.2,NA,NA,NA,NA,NA,NA,1589,44.7,996,28.5,2018-19
Sturbridge,02870000,13,1.5,11,1.2,111,12.5,NA,NA,NA,NA,NA,NA,221,24.8,138,15.6,2018-19
Sturgis Charter Public (District),04890000,27,3.2,4,0.5,115,13.8,NA,NA,NA,NA,NA,NA,200,23.9,102,12.2,2018-19
Sudbury,02880000,139,5.2,51,1.9,486,18.1,NA,NA,NA,NA,NA,NA,636,23.7,137,5.2,2018-19
Sunderland,02890000,31,13.4,19,8.2,46,19.8,NA,NA,NA,NA,NA,NA,108,46.6,73,31.5,2018-19
Sutton,02900000,28,2.1,17,1.3,239,17.5,NA,NA,NA,NA,NA,NA,345,25.3,141,10.4,2018-19
Swampscott,02910000,269,12.2,121,5.5,392,17.5,NA,NA,NA,NA,NA,NA,738,33,330,14.9,2018-19
Swansea,02920000,31,1.5,6,0.3,280,13.4,NA,NA,NA,NA,NA,NA,598,28.5,403,19.3,2018-19
Tantasqua,07700000,19,1,3,0.2,197,10.8,NA,NA,NA,NA,NA,NA,492,27,351,19.4,2018-19
Taunton,02930000,906,11.3,423,5.3,1571,19.4,NA,NA,NA,NA,NA,NA,4436,54.7,3471,43.4,2018-19
TEC Connections Academy Commonwealth Virtual School District,39020000,117,5.5,30,1.4,415,19.4,NA,NA,NA,NA,NA,NA,1217,56.8,996,46.5,2018-19
Tewksbury,02950000,139,4.1,48,1.4,602,17.4,NA,NA,NA,NA,NA,NA,1042,30,513,15.1,2018-19
Tisbury,02960000,104,35,73,24.6,48,16.2,NA,NA,NA,NA,NA,NA,156,52.5,82,27.6,2018-19
Topsfield,02980000,2,0.3,2,0.3,111,17.2,NA,NA,NA,NA,NA,NA,127,19.7,23,3.6,2018-19
Tri-County Regional Vocational Technical,08780000,5,0.5,1,0.1,324,31.6,NA,NA,NA,NA,NA,NA,453,44.2,198,19.3,2018-19
Triton,07730000,82,3.4,25,1,418,17,NA,NA,NA,NA,NA,NA,810,32.9,491,20.3,2018-19
Truro,03000000,1,0.9,1,0.9,18,16.7,NA,NA,NA,NA,NA,NA,50,46.3,37,34.9,2018-19
Tyngsborough,03010000,94,5.7,45,2.7,277,16.7,NA,NA,NA,NA,NA,NA,456,27.5,193,11.8,2018-19
UP Academy Charter School of Boston (District),04800000,274,53,152,29.4,101,19.5,NA,NA,NA,NA,NA,NA,428,82.8,348,67.3,2018-19
UP Academy Charter School of Dorchester (District),35050000,323,44.6,224,30.9,119,16.4,NA,NA,NA,NA,NA,NA,578,79.8,458,63.3,2018-19
Up-Island Regional,07740000,33,7.9,25,6,92,22.1,NA,NA,NA,NA,NA,NA,179,42.9,93,22.4,2018-19
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,0,151,21.5,NA,NA,NA,NA,NA,NA,279,39.7,170,24.2,2018-19
Uxbridge,03040000,71,4.1,28,1.6,298,17.1,NA,NA,NA,NA,NA,NA,558,32,325,18.9,2018-19
Veritas Preparatory Charter School (District),04980000,99,28.5,41,11.8,62,17.9,NA,NA,NA,NA,NA,NA,274,79,248,71.5,2018-19
Wachusett,07750000,212,3,118,1.7,1083,15.1,NA,NA,NA,NA,NA,NA,1800,25.1,730,10.3,2018-19
Wakefield,03050000,191,5.5,80,2.3,555,15.8,NA,NA,NA,NA,NA,NA,955,27.2,426,12.2,2018-19
Wales,03060000,0,0,0,0,31,20.9,NA,NA,NA,NA,NA,NA,70,47.3,51,34.7,2018-19
Walpole,03070000,371,9.9,115,3.1,527,13.9,NA,NA,NA,NA,NA,NA,937,24.7,365,9.7,2018-19
Waltham,03080000,2700,47.9,1279,22.7,885,15.5,NA,NA,NA,NA,NA,NA,3088,54.2,1901,33.7,2018-19
Ware,03090000,29,2.4,14,1.2,241,20,NA,NA,NA,NA,NA,NA,701,58.2,608,51.1,2018-19
Wareham,03100000,50,2.4,27,1.3,568,26.1,NA,NA,NA,NA,NA,NA,1323,60.7,1080,50.8,2018-19
Watertown,03140000,947,36.3,326,12.5,568,21.4,NA,NA,NA,NA,NA,NA,1246,46.9,649,24.9,2018-19
Wayland,03150000,302,11.2,120,4.5,511,18.7,NA,NA,NA,NA,NA,NA,725,26.5,154,5.7,2018-19
Webster,03160000,240,13.1,176,9.6,399,21.3,NA,NA,NA,NA,NA,NA,1164,62.3,968,52.9,2018-19
Wellesley,03170000,340,6.9,114,2.3,805,16,NA,NA,NA,NA,NA,NA,1166,23.2,279,5.6,2018-19
Wellfleet,03180000,2,1.9,1,1,19,17.9,NA,NA,NA,NA,NA,NA,40,37.7,30,28.6,2018-19
West Boylston,03220000,55,6.2,33,3.7,148,16.4,NA,NA,NA,NA,NA,NA,310,34.4,180,20.2,2018-19
West Bridgewater,03230000,31,2.3,22,1.6,142,10.4,NA,NA,NA,NA,NA,NA,334,24.4,211,15.6,2018-19
West Springfield,03320000,1281,31.1,459,11.2,769,18.5,NA,NA,NA,NA,NA,NA,2355,56.6,1831,44.5,2018-19
Westborough,03210000,1139,29,453,11.5,590,14.9,NA,NA,NA,NA,NA,NA,1351,34.2,323,8.2,2018-19
Westfield,03250000,591,11.1,310,5.8,990,18.4,NA,NA,NA,NA,NA,NA,2653,49.3,2009,37.7,2018-19
Westford,03260000,697,13.8,88,1.7,750,14.7,NA,NA,NA,NA,NA,NA,1105,21.6,263,5.2,2018-19
Westhampton,03270000,3,2.5,1,0.8,26,21.3,NA,NA,NA,NA,NA,NA,39,32,17,14,2018-19
Weston,03300000,201,9.6,67,3.2,364,17.1,NA,NA,NA,NA,NA,NA,560,26.3,109,5.2,2018-19
Westport,03310000,32,2.2,12,0.8,259,17.9,NA,NA,NA,NA,NA,NA,527,36.4,347,24.1,2018-19
Westwood,03350000,159,5.2,29,0.9,525,16.9,NA,NA,NA,NA,NA,NA,694,22.4,147,4.8,2018-19
Weymouth,03360000,691,11.8,225,3.8,1143,19.2,NA,NA,NA,NA,NA,NA,2568,43.2,1673,28.6,2018-19
Whately,03370000,4,2.9,4,2.9,17,12.2,NA,NA,NA,NA,NA,NA,51,36.7,36,25.9,2018-19
Whitman-Hanson,07800000,78,2,46,1.2,583,15.1,NA,NA,NA,NA,NA,NA,1220,31.5,773,20.2,2018-19
Whittier Regional Vocational Technical,08850000,64,5.1,14,1.1,284,22.8,NA,NA,NA,NA,NA,NA,576,46.2,351,28.2,2018-19
Williamsburg,03400000,5,3.4,4,2.7,26,17.7,NA,NA,NA,NA,NA,NA,55,37.4,38,25.9,2018-19
Wilmington,03420000,93,2.9,29,0.9,617,19,NA,NA,NA,NA,NA,NA,862,26.5,295,9.2,2018-19
Winchendon,03430000,33,2.6,9,0.7,233,18.2,NA,NA,NA,NA,NA,NA,643,50.2,517,40.9,2018-19
Winchester,03440000,781,16.8,118,2.5,811,17.3,NA,NA,NA,NA,NA,NA,1203,25.7,231,5,2018-19
Winthrop,03460000,428,21.6,155,7.8,316,15.8,NA,NA,NA,NA,NA,NA,842,42.2,481,24.3,2018-19
Woburn,03470000,871,19.3,369,8.2,752,16.3,NA,NA,NA,NA,NA,NA,1960,42.6,1135,25.1,2018-19
Worcester,03480000,14612,57.5,8330,32.8,5032,19.4,NA,NA,NA,NA,NA,NA,20567,79.4,14726,57.9,2018-19
Worthington,03490000,0,0,0,0,15,20.3,NA,NA,NA,NA,NA,NA,37,50,29,39.2,2018-19
Wrentham,03500000,29,2.9,23,2.3,167,16.5,NA,NA,NA,NA,NA,NA,255,25.2,100,9.9,2018-19
State Totals,00000000,208334,21.9,99866,10.5,173843,18.1,NA,NA,NA,NA,NA,NA,458044,47.6,297120,31.2,2018-19
Abby Kelley Foster Charter Public (District),04450000,913,64.1,137,9.6,171,12,NA,NA,NA,NA,NA,NA,751,52.7,568,39.9,2017-18
Abington,00010000,182,8.9,97,4.8,296,14.4,NA,NA,NA,NA,NA,NA,730,35.5,477,23.5,2017-18
Academy Of the Pacific Rim Charter Public (District),04120000,150,28.6,63,12,137,26.1,NA,NA,NA,NA,NA,NA,333,63.5,207,39.5,2017-18
Acton-Boxborough,06000000,997,17.8,267,4.8,891,15.6,NA,NA,NA,NA,NA,NA,1419,24.9,334,6,2017-18
Acushnet,00030000,10,1,7,0.7,152,15.6,NA,NA,NA,NA,NA,NA,351,36,248,25.8,2017-18
Adams-Cheshire,06030000,8,0.7,6,0.5,310,25.3,NA,NA,NA,NA,NA,NA,708,57.9,594,48.6,2017-18
Advanced Math and Science Academy Charter (District),04300000,237,23.9,94,9.5,53,5.3,NA,NA,NA,NA,NA,NA,200,20.1,67,6.7,2017-18
Agawam,00050000,372,9.6,203,5.3,676,17.3,NA,NA,NA,NA,NA,NA,1635,41.9,1149,29.7,2017-18
Alma del Mar Charter School (District),04090000,96,23.2,91,22,65,15.7,NA,NA,NA,NA,NA,NA,299,72.4,241,58.4,2017-18
Amesbury,00070000,63,2.9,28,1.3,435,19.9,NA,NA,NA,NA,NA,NA,802,36.7,501,23.3,2017-18
Amherst,00080000,276,24.1,189,16.5,241,21,NA,NA,NA,NA,NA,NA,566,49.3,383,33.4,2017-18
Amherst-Pelham,06050000,186,13.8,81,6,270,19.9,NA,NA,NA,NA,NA,NA,526,38.8,339,25.2,2017-18
Andover,00090000,776,13.1,254,4.3,1156,19.2,NA,NA,NA,NA,NA,NA,1659,27.6,416,7,2017-18
Argosy Collegiate Charter School (District),35090000,98,24.6,91,22.9,86,21.6,NA,NA,NA,NA,NA,NA,267,67.1,219,55,2017-18
Arlington,00100000,616,10.8,272,4.8,891,15.3,NA,NA,NA,NA,NA,NA,1488,25.6,481,8.4,2017-18
Ashburnham-Westminster,06100000,80,3.4,45,1.9,416,17.4,NA,NA,NA,NA,NA,NA,715,29.9,371,15.6,2017-18
Ashland,00140000,553,20.1,118,4.3,466,16.7,NA,NA,NA,NA,NA,NA,833,29.9,364,13.2,2017-18
Assabet Valley Regional Vocational Technical,08010000,168,15.1,32,2.9,327,29.4,NA,NA,NA,NA,NA,NA,540,48.5,275,24.7,2017-18
Athol-Royalston,06150000,55,3.7,39,2.6,414,27.1,NA,NA,NA,NA,NA,NA,945,62,761,50.7,2017-18
Atlantis Charter (District),04910000,229,18.9,112,9.2,145,12,NA,NA,NA,NA,NA,NA,659,54.4,526,43.4,2017-18
Attleboro,00160000,783,13.2,358,6,1027,17.2,NA,NA,NA,NA,NA,NA,2677,44.7,1852,31.1,2017-18
Auburn,00170000,190,7.3,92,3.5,252,9.6,NA,NA,NA,NA,NA,NA,735,28.1,488,18.7,2017-18
Avon,00180000,52,7.2,30,4.1,119,16.3,NA,NA,NA,NA,NA,NA,303,41.6,212,29.2,2017-18
Ayer Shirley School District,06160000,132,7.7,56,3.3,307,17.7,NA,NA,NA,NA,NA,NA,675,38.9,427,25,2017-18
Barnstable,00200000,855,17.6,482,9.9,747,15.2,NA,NA,NA,NA,NA,NA,2308,47,1586,32.6,2017-18
Barnstable Community Horace Mann Charter Public (District),04270000,125,40.7,64,20.8,28,9.1,NA,NA,NA,NA,NA,NA,172,56,126,41,2017-18
Baystate Academy Charter Public School (District),35020000,92,20.7,63,14.2,85,19.1,NA,NA,NA,NA,NA,NA,340,76.4,314,70.6,2017-18
Bedford,00230000,438,16.5,161,6.1,456,16.9,NA,NA,NA,NA,NA,NA,759,28.2,216,8.2,2017-18
Belchertown,00240000,41,1.8,16,0.7,420,17.9,NA,NA,NA,NA,NA,NA,744,31.7,436,18.8,2017-18
Bellingham,00250000,89,3.9,36,1.6,460,19.9,NA,NA,NA,NA,NA,NA,800,34.6,438,19.2,2017-18
Belmont,00260000,1043,22.7,336,7.3,486,10.4,NA,NA,NA,NA,NA,NA,1128,24.1,355,7.7,2017-18
Benjamin Banneker Charter Public (District),04200000,65,18.4,18,5.1,51,14.4,NA,NA,NA,NA,NA,NA,220,62.1,188,53.1,2017-18
Benjamin Franklin Classical Charter Public (District),04470000,87,19.6,24,5.4,55,12.4,NA,NA,NA,NA,NA,NA,109,24.6,30,6.8,2017-18
Bentley Academy Charter School (District),35110000,112,37.8,56,18.9,51,17.2,NA,NA,NA,NA,NA,NA,225,76,198,66.9,2017-18
Berkley,00270000,5,0.5,5,0.5,140,15.2,NA,NA,NA,NA,NA,NA,264,28.6,152,16.5,2017-18
Berkshire Arts and Technology Charter Public (District),04140000,7,2,4,1.1,77,21.8,NA,NA,NA,NA,NA,NA,192,54.2,150,42.4,2017-18
Berkshire Hills,06180000,85,6.8,33,2.7,220,17.5,NA,NA,NA,NA,NA,NA,492,39.1,358,28.8,2017-18
Berlin,00280000,15,8.2,8,4.4,29,15.8,NA,NA,NA,NA,NA,NA,54,29.3,32,17.5,2017-18
Berlin-Boylston,06200000,39,6.6,11,1.9,107,17.7,NA,NA,NA,NA,NA,NA,173,28.5,68,11.4,2017-18
Beverly,00300000,349,7.8,183,4.1,953,20.7,NA,NA,NA,NA,NA,NA,1848,40.2,1155,25.7,2017-18
Billerica,00310000,378,7.9,76,1.6,882,18.3,NA,NA,NA,NA,NA,NA,1512,31.3,816,17.1,2017-18
Blackstone Valley Regional Vocational Technical,08050000,9,0.7,3,0.2,116,9.5,NA,NA,NA,NA,NA,NA,227,18.6,125,10.2,2017-18
Blackstone-Millville,06220000,118,6.9,55,3.2,307,17.7,NA,NA,NA,NA,NA,NA,644,37.1,379,22.1,2017-18
Blue Hills Regional Vocational Technical,08060000,72,8.4,4,0.5,227,26.6,NA,NA,NA,NA,NA,NA,385,45.1,191,22.4,2017-18
Boston,00350000,25336,48.1,16685,31.7,10394,19.6,NA,NA,NA,NA,NA,NA,39854,75.1,30720,58.3,2017-18
Boston Collegiate Charter (District),04490000,86,12.3,25,3.6,115,16.4,NA,NA,NA,NA,NA,NA,317,45.3,218,31.1,2017-18
Boston Day and Evening Academy Charter (District),04240000,65,16.1,32,7.9,103,25.5,NA,NA,NA,NA,NA,NA,278,68.8,226,55.9,2017-18
Boston Green Academy Horace Mann Charter School (District),04110000,163,34.6,65,13.8,152,32.3,NA,NA,NA,NA,NA,NA,378,80.3,314,66.7,2017-18
Boston Preparatory Charter Public (District),04160000,120,25.9,84,18.1,106,22.9,NA,NA,NA,NA,NA,NA,294,63.5,195,42.1,2017-18
Boston Renaissance Charter Public (District),04810000,197,21,85,9.1,121,12.9,NA,NA,NA,NA,NA,NA,573,61.1,468,49.9,2017-18
Bourne,00360000,25,1.3,18,0.9,318,16.1,NA,NA,NA,NA,NA,NA,717,36.4,504,25.8,2017-18
Boxford,00380000,4,0.6,1,0.1,141,19.5,NA,NA,NA,NA,NA,NA,165,22.8,39,5.4,2017-18
Boylston,00390000,26,8.7,8,2.7,40,13.3,NA,NA,NA,NA,NA,NA,64,21.3,24,8,2017-18
Braintree,00400000,882,15.1,322,5.5,1209,20.5,NA,NA,NA,NA,NA,NA,2235,37.9,1082,18.6,2017-18
Brewster,00410000,17,3.6,13,2.7,84,17.5,NA,NA,NA,NA,NA,NA,179,37.3,118,24.8,2017-18
Bridge Boston Charter School (District),04170000,125,40.6,73,23.7,69,22.4,NA,NA,NA,NA,NA,NA,233,75.6,181,58.8,2017-18
Bridgewater-Raynham,06250000,89,1.7,64,1.2,815,15.3,NA,NA,NA,NA,NA,NA,1501,28.1,867,16.4,2017-18
Brimfield,00430000,1,0.3,0,0,42,14.6,NA,NA,NA,NA,NA,NA,85,29.6,51,17.8,2017-18
Bristol County Agricultural,09100000,3,0.7,0,0,65,14.3,NA,NA,NA,NA,NA,NA,146,32,101,22.1,2017-18
Bristol-Plymouth Regional Vocational Technical,08100000,44,3.4,3,0.2,238,18.6,NA,NA,NA,NA,NA,NA,488,38.2,323,25.3,2017-18
Brockton,00440000,6751,40.5,3986,23.9,2667,15.9,NA,NA,NA,NA,NA,NA,11683,69.8,9191,55.2,2017-18
Brooke Charter School (District),04280000,292,16.8,131,7.5,169,9.7,NA,NA,NA,NA,NA,NA,983,56.6,815,46.9,2017-18
Brookfield,00450000,4,1.3,0,0,42,13.5,NA,NA,NA,NA,NA,NA,111,35.7,90,28.9,2017-18
Brookline,00460000,2393,30.7,839,10.8,1215,15.5,NA,NA,NA,NA,NA,NA,2623,33.4,846,10.8,2017-18
Burlington,00480000,636,18.1,169,4.8,475,13.2,NA,NA,NA,NA,NA,NA,963,26.7,399,11.3,2017-18
Cambridge,00490000,1896,27.4,557,8.1,1570,22.2,NA,NA,NA,NA,NA,NA,3345,47.3,2070,29.9,2017-18
Canton,00500000,182,5.5,74,2.2,438,13.1,NA,NA,NA,NA,NA,NA,876,26.1,468,14.1,2017-18
Cape Cod Lighthouse Charter (District),04320000,3,1.2,3,1.2,33,13.6,NA,NA,NA,NA,NA,NA,74,30.6,46,19,2017-18
Cape Cod Regional Vocational Technical,08150000,18,3.1,9,1.5,172,29.2,NA,NA,NA,NA,NA,NA,330,55.9,214,36.3,2017-18
Carlisle,00510000,42,6.9,23,3.8,96,15.6,NA,NA,NA,NA,NA,NA,135,22,24,4,2017-18
Carver,00520000,13,0.8,11,0.7,326,20.5,NA,NA,NA,NA,NA,NA,598,37.6,377,23.9,2017-18
Central Berkshire,06350000,18,1.1,8,0.5,230,14.3,NA,NA,NA,NA,NA,NA,653,40.6,506,31.6,2017-18
Chelmsford,00560000,628,12.6,202,4,842,16.6,NA,NA,NA,NA,NA,NA,1489,29.3,643,12.9,2017-18
Chelsea,00570000,5229,82.7,2357,37.3,992,15.3,NA,NA,NA,NA,NA,NA,5238,80.9,4193,66.3,2017-18
Chesterfield-Goshen,06320000,0,0,0,0,31,22.8,NA,NA,NA,NA,NA,NA,60,44.1,35,25.7,2017-18
Chicopee,00610000,975,12.9,455,6,1398,18.5,NA,NA,NA,NA,NA,NA,4637,61.3,4065,53.9,2017-18
Christa McAuliffe Charter Public (District),04180000,40,10.1,15,3.8,88,22.3,NA,NA,NA,NA,NA,NA,157,39.7,73,18.5,2017-18
City on a Hill Charter Public School Circuit Street (District),04370000,87,30.7,38,13.4,65,23,NA,NA,NA,NA,NA,NA,202,71.4,158,55.8,2017-18
City on a Hill Charter Public School Dudley Square (District),35040000,100,36.8,52,19.1,59,21.7,NA,NA,NA,NA,NA,NA,209,76.8,158,58.1,2017-18
City on a Hill Charter Public School New Bedford (District),35070000,81,34.3,41,17.4,70,29.7,NA,NA,NA,NA,NA,NA,188,79.7,162,68.6,2017-18
Clarksburg,00630000,0,0,0,0,47,24.1,NA,NA,NA,NA,NA,NA,96,49.2,67,34.7,2017-18
Clinton,00640000,427,22.7,161,8.6,405,21.1,NA,NA,NA,NA,NA,NA,979,51.1,683,36.3,2017-18
Codman Academy Charter Public (District),04380000,46,13.3,21,6.1,70,20.3,NA,NA,NA,NA,NA,NA,230,66.7,183,53,2017-18
Cohasset,00650000,9,0.6,4,0.3,207,13,NA,NA,NA,NA,NA,NA,273,17.1,81,5.1,2017-18
Collegiate Charter School of Lowell (District),35030000,345,45.5,146,19.2,83,10.9,NA,NA,NA,NA,NA,NA,466,61.4,321,42.3,2017-18
Community Charter School of Cambridge (District),04360000,121,33.2,12,3.3,64,17.5,NA,NA,NA,NA,NA,NA,178,48.8,131,35.9,2017-18
Community Day Charter Public School - Gateway (District),04260000,237,74.1,93,29.1,24,7.5,NA,NA,NA,NA,NA,NA,253,79.1,164,51.3,2017-18
Community Day Charter Public School - Prospect (District),04400000,288,72,159,39.8,40,10,NA,NA,NA,NA,NA,NA,314,78.5,215,53.8,2017-18
Community Day Charter Public School - R. Kingman Webster (District),04310000,192,60,88,27.5,29,9.1,NA,NA,NA,NA,NA,NA,243,75.9,167,52.2,2017-18
Concord,00670000,141,6.7,55,2.6,367,17.1,NA,NA,NA,NA,NA,NA,511,23.8,142,6.7,2017-18
Concord-Carlisle,06400000,65,5.1,3,0.2,246,18.8,NA,NA,NA,NA,NA,NA,301,23,76,6,2017-18
Conservatory Lab Charter (District),04390000,72,16,57,12.7,51,11.3,NA,NA,NA,NA,NA,NA,276,61.3,206,45.8,2017-18
Conway,00680000,0,0,0,0,26,18.8,NA,NA,NA,NA,NA,NA,48,34.8,35,25.4,2017-18
Danvers,00710000,73,2.1,31,0.9,581,16.6,NA,NA,NA,NA,NA,NA,1027,29.3,559,16.1,2017-18
Dartmouth,00720000,184,5,93,2.5,535,14.4,NA,NA,NA,NA,NA,NA,1227,33,809,22,2017-18
Dedham,00730000,363,13.7,188,7.1,611,22.6,NA,NA,NA,NA,NA,NA,1107,41,601,22.6,2017-18
Deerfield,00740000,10,2.5,4,1,71,17.7,NA,NA,NA,NA,NA,NA,121,30.2,73,18.2,2017-18
Dennis-Yarmouth,06450000,509,16.7,260,8.5,604,19.5,NA,NA,NA,NA,NA,NA,1717,55.5,1272,41.6,2017-18
Dighton-Rehoboth,06500000,29,1,6,0.2,417,14.3,NA,NA,NA,NA,NA,NA,753,25.7,445,15.3,2017-18
Douglas,00770000,6,0.5,5,0.4,256,19,NA,NA,NA,NA,NA,NA,407,30.3,213,16,2017-18
Dover,00780000,30,6.1,13,2.6,79,15.9,NA,NA,NA,NA,NA,NA,107,21.5,14,2.8,2017-18
Dover-Sherborn,06550000,47,3.9,7,0.6,201,16.5,NA,NA,NA,NA,NA,NA,247,20.3,51,4.3,2017-18
