district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Shrewsbury,02710000,2143,34.5,188,3,875,14,NA,NA,NA,NA,NA,NA,1755,28,649,10.5,2018-19
Shutesbury,02720000,0,0,0,0,20,15.5,NA,NA,NA,NA,NA,NA,59,45.7,50,39.1,2018-19
Silver Lake,07600000,14,0.8,8,0.5,280,16,NA,NA,NA,NA,NA,NA,486,27.7,279,15.9,2018-19
Sizer School: A North Central Charter Essential (District),04740000,8,2.2,5,1.4,91,24.7,NA,NA,NA,NA,NA,NA,186,50.4,129,35,2018-19
Somerset,02730000,43,2.4,20,1.1,299,16.7,NA,NA,NA,NA,NA,NA,616,34.4,390,22,2018-19
Somerset Berkley Regional School District,07630000,15,1.4,2,0.2,157,14.8,NA,NA,NA,NA,NA,NA,255,24.1,131,12.6,2018-19
Somerville,02740000,2365,48.2,1007,20.5,1041,20.9,NA,NA,NA,NA,NA,NA,2998,60.2,1925,39.2,2018-19
South Hadley,02780000,146,7.6,89,4.6,346,17.9,NA,NA,NA,NA,NA,NA,744,38.5,476,24.9,2018-19
South Middlesex Regional Vocational Technical,08290000,223,29.7,99,13.2,312,41.6,NA,NA,NA,NA,NA,NA,544,72.5,306,40.8,2018-19
South Shore Charter Public (District),04880000,339,36.1,115,12.2,157,16.7,NA,NA,NA,NA,NA,NA,450,47.9,184,19.6,2018-19
South Shore Regional Vocational Technical,08730000,6,0.9,3,0.5,192,29.8,NA,NA,NA,NA,NA,NA,306,47.4,150,23.3,2018-19
Southampton,02750000,11,2.2,10,2,94,18.7,NA,NA,NA,NA,NA,NA,140,27.8,64,12.8,2018-19
Southborough,02760000,170,13.4,78,6.1,201,15.6,NA,NA,NA,NA,NA,NA,345,26.8,70,5.5,2018-19
